Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,66,33,22838.47560166609,16.507238,34.0000003152315,True
0.05,1.0,66,33,22865.98516263366,15.447099,34.00000031566001,True
0.05,1000000.0,66,33,22834.35005552998,8.269213,34.00000031545188,True
0.05,5000000.0,66,33,22801.043581058384,9.155186,34.00000031685317,True
0.05,10000000.0,66,33,23013.392901149487,7.352616,34.00000032008017,True
0.05,50000000.0,66,33,22437.73046093153,8.719525,34.00000032590093,True
0.05,80000000.0,66,33,22516.202256097185,6.865836,34.00000032873817,True
0.05,100000000.0,66,33,22065.411439439802,24.963481,34.000000329737745,True
0.1,0.0,66,33,22851.240811031646,8.218734,34.00000031577403,True
0.1,1.0,66,33,22851.24080836341,9.84486,34.00000031577404,True
0.1,1000000.0,66,33,22849.471035505925,11.547381,34.00000031618075,True
0.1,5000000.0,66,33,23044.855911705905,11.900858,34.00000031858651,True
0.1,10000000.0,66,33,23006.010261681746,8.546843,34.000000320340554,True
0.1,50000000.0,66,33,22472.595091707346,9.963428,34.00000032621392,True
0.1,80000000.0,66,33,22492.157534888487,11.426641,34.00000032900653,True
0.1,100000000.0,66,33,22301.742962262782,9.267627,34.00000033002515,True
0.15,0.0,66,33,22782.1778105888,13.943205,34.0000003148968,True
0.15,1.0,66,33,22827.34789368977,13.72622,34.00000031544644,True
0.15,1000000.0,66,33,23050.30485911718,7.858319,34.00000031764649,True
0.15,5000000.0,66,33,22781.11681574098,8.813028,34.00000031820488,True
0.15,10000000.0,66,33,22996.213980261502,10.432519,34.000000320650415,True
0.15,50000000.0,66,33,22412.240931333097,9.49394,34.00000032627418,True
0.15,80000000.0,66,33,22196.36065018217,16.140498,34.000000328626804,True
0.15,100000000.0,66,33,22280.715192127238,9.265403,34.00000033002919,True
0.2,0.0,66,33,22829.98103008255,7.052899,34.00000031725893,True
0.2,1.0,66,33,22790.993218873038,10.568161,34.00000031612974,True
0.2,1000000.0,66,33,23043.06443407926,8.369107,34.000000318065354,True
0.2,5000000.0,66,33,22768.75693968511,16.440677,34.00000031853811,True
0.2,10000000.0,66,33,22684.725955084472,13.552454,34.00000032014315,True
0.2,50000000.0,66,33,22335.65338335495,10.575013,34.00000032633323,True
0.2,80000000.0,66,33,22447.74245449243,7.889525,34.00000032915223,True
0.2,100000000.0,66,33,22257.796378573454,12.547591,34.00000033008985,True
0.25,0.0,66,33,23038.80811920138,10.978358,34.00000031809131,True
0.25,1.0,66,33,22820.896895585236,14.698093,34.000000317743975,True
0.25,1000000.0,66,33,22777.951548103145,7.331954,34.00000031771757,True
0.25,5000000.0,66,33,22998.556320400494,8.476677,34.00000032006517,True
0.25,10000000.0,66,33,22974.361833368923,9.105997,34.00000032123637,True
0.25,50000000.0,66,33,22378.484972770515,11.563556,34.00000032654126,True
0.25,80000000.0,66,33,22425.51223857033,8.699568,34.00000032922522,True
0.25,100000000.0,66,33,22708.908854725007,31.167023,34.00000032145655,True
0.3,0.0,66,33,23009.703385662313,9.144896,34.00000031903605,True
0.3,1.0,66,33,23009.70338181833,10.755202,34.00000031903605,True
0.3,1000000.0,66,33,22759.21393612882,10.787331,34.00000031879076,True
0.3,5000000.0,66,33,22988.18625493793,8.24719,34.00000032040205,True
0.3,10000000.0,66,33,22959.82752524488,7.855201,34.00000032134084,True
0.3,50000000.0,66,33,22716.06111654036,8.683898,34.00000032728991,True
0.3,80000000.0,66,33,22142.00252378713,29.115741,34.00000032899978,True
0.3,100000000.0,66,33,22206.086805118528,18.898248,34.00000033020741,True
0.35,0.0,66,33,22999.93656852387,10.397692,34.00000031941118,True
0.35,1.0,66,33,22999.936564323136,11.101424,34.00000031941118,True
0.35,1000000.0,66,33,22995.682465785318,11.02219,34.00000031969117,True
0.35,5000000.0,66,33,22977.429248718465,9.326516,34.00000032072489,True
0.35,10000000.0,66,33,22934.065760548165,10.568063,34.000000321876925,True
0.35,50000000.0,66,33,22343.821608844955,13.369449,34.00000032679386,True
0.35,80000000.0,66,33,22381.191119911364,10.993911,34.000000329371,True
0.35,100000000.0,66,33,22177.03758782291,21.528605,34.00000033026338,True
0.4,0.0,66,33,22685.887504680515,13.844891,34.000000318872445,True
0.4,1.0,66,33,22989.636746151962,9.405801,34.00000031977176,True
0.4,1000000.0,66,33,22985.212984761944,13.127221,34.00000032004293,True
0.4,5000000.0,66,33,22654.083774589555,9.662399,34.000000320274594,True
0.4,10000000.0,66,33,22924.93674668042,10.655184,34.00000032225387,True
0.4,50000000.0,66,33,22688.30901072998,7.14466,34.000000327537634,True
0.4,80000000.0,66,33,22358.841516093966,16.408176,34.000000329443274,True
0.4,100000000.0,66,33,22652.915798066202,42.677243,34.000000321588615,True
0.45,0.0,66,33,22978.934638068888,8.0393,34.00000032011995,True
