Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,54,27,19560.40807346309,8.726619,28.000000274340444,True
0.05,1.0,54,27,19564.06625664045,13.063244,28.00000027434702,True
0.05,1000000.0,54,27,19541.942877365767,9.21269,28.0000002744251,True
0.05,5000000.0,54,27,19558.56039087262,8.680602,28.000000274515322,True
0.05,10000000.0,54,27,19523.258349948446,9.040348,28.000000274683273,True
0.05,50000000.0,54,27,18885.39936334593,7.8686,28.00000027462222,True
0.05,80000000.0,54,27,17605.65810506977,6.209229,28.000000275564606,True
0.05,100000000.0,54,27,19802.53098213118,24.845998,28.00000027368823,True
0.1,0.0,54,27,19707.62822080406,9.874637,28.000000274424607,True
0.1,1.0,54,27,19558.86441493328,6.190675,28.000000274389734,True
0.1,1000000.0,54,27,19561.504299187658,6.428223,28.000000274430462,True
0.1,5000000.0,54,27,19440.813797493516,11.084216,28.000000274504984,True
0.1,10000000.0,54,27,19517.41117254206,7.254944,28.00000027472495,True
0.1,50000000.0,54,27,18855.40516029681,19.459779,28.00000027465017,True
0.1,80000000.0,54,27,18629.460507478063,7.096518,28.000000275304348,True
0.1,100000000.0,54,27,18457.224458625195,5.558924,28.00000027568925,True
0.15,0.0,54,27,19540.044552087806,8.328556,28.000000274487313,True
0.15,1.0,54,27,19540.04455115839,8.119182,28.000000274487313,True
0.15,1000000.0,54,27,19558.633327143652,10.984564,28.000000274477923,True
0.15,5000000.0,54,27,19545.477886556557,10.552544,28.000000274590413,True
0.15,10000000.0,54,27,19493.86323084233,6.382736,28.00000027470598,True
0.15,50000000.0,54,27,17790.726915062613,6.377161,28.00000027492243,True
0.15,80000000.0,54,27,19000.56259619516,29.473037,28.00000027221572,True
0.15,100000000.0,54,27,18291.651468533204,7.550627,28.00000027585832,True
0.2,0.0,54,27,19556.657913217314,15.480027,28.000000274492102,True
0.2,1.0,54,27,19556.657912568204,8.682539,28.000000274492102,True
0.2,1000000.0,54,27,19554.74124648929,10.037748,28.00000027452562,True
0.2,5000000.0,54,27,19686.7320577412,10.794897,28.000000274565753,True
0.2,10000000.0,54,27,19728.089216519784,17.585881,28.000000274908906,True
0.2,50000000.0,54,27,17774.645189200946,7.75181,28.000000274971505,True
0.2,80000000.0,54,27,16464.498755957815,9.924339,28.00000027621579,True
0.2,100000000.0,54,27,18381.697830671845,6.442488,28.000000275707908,True
0.25,0.0,54,27,19515.609496636298,9.758225,28.000000274509482,True
0.25,1.0,54,27,19515.60949455852,7.565315,28.000000274509482,True
0.25,1000000.0,54,27,19549.83930440323,10.406258,28.000000274573427,True
0.25,5000000.0,54,27,19529.262292979427,10.532832,28.00000027466206,True
0.25,10000000.0,54,27,19478.125676497362,8.836057,28.00000027478551,True
0.25,50000000.0,54,27,18810.86270209583,7.630575,28.00000027473681,True
0.25,80000000.0,54,27,19896.666106751076,33.690291,28.000000273306334,True
0.25,100000000.0,54,27,18357.337388898337,8.804425,28.00000027572621,True
0.3,0.0,54,27,19745.953458418317,7.689158,28.00000027469914,True
0.3,1.0,54,27,19484.91496168242,9.653242,28.000000274317458,True
0.3,1000000.0,54,27,19684.742292570627,12.864864,28.000000274521383,True
0.3,5000000.0,54,27,19521.818665753653,9.220965,28.000000274703567,True
0.3,10000000.0,54,27,19491.063783790243,11.32139,28.00000027491213,True
0.3,50000000.0,54,27,18793.97018284578,8.426007,28.000000274771235,True
0.3,80000000.0,54,27,18905.978650235073,28.605472,28.00000027217753,True
0.3,100000000.0,54,27,18339.788022671448,7.175335,28.000000275752303,True
0.35,0.0,54,27,19540.17397114116,10.372506,28.00000027463532,True
0.35,1.0,54,27,19521.85016003345,12.034097,28.00000027466989,True
0.35,1000000.0,54,27,19537.124168796992,12.698539,28.000000274667112,True
0.35,5000000.0,54,27,19418.484904373323,14.088559,28.000000274228935,True
0.35,10000000.0,54,27,19208.059531319068,11.540068,28.00000027381464,True
0.35,50000000.0,54,27,15879.587414037069,13.951553,28.000000275751177,True
0.35,80000000.0,54,27,18482.590675543983,8.250178,28.00000027541208,True
0.35,100000000.0,54,27,18274.378361914758,13.977608,28.000000275818195,True
0.4,0.0,54,27,19522.569956315685,10.02537,28.000000274657804,True
0.4,1.0,54,27,19522.569952957547,10.23401,28.000000274657804,True
0.4,1000000.0,54,27,19523.90945559671,10.315168,28.00000027469028,True
0.4,5000000.0,54,27,19464.062973454813,14.997603,28.0000002746215,True
0.4,10000000.0,54,27,19194.200178334515,12.037902,28.00000027384001,True
0.4,50000000.0,54,27,16878.677047164794,7.722168,28.000000275394616,True
0.4,80000000.0,54,27,18461.91628829469,6.470421,28.000000275438765,True
0.4,100000000.0,54,27,18310.918003828705,9.253536,28.000000275819282,True
0.45,0.0,54,27,19488.58387095164,13.497679,28.00000027479223,True
0.45,1.0,54,27,19517.662633092583,15.824346,28.000000274720247,True
0.45,1000000.0,54,27,19224.11199298594,9.807565,28.000000273611366,True
0.45,5000000.0,54,27,19442.082866413835,14.238375,28.000000274681845,True
0.45,10000000.0,54,27,19177.25993223819,12.887685,28.000000273856998,True
0.45,50000000.0,54,27,17678.895826062668,7.085505,28.000000275212972,True
0.45,80000000.0,54,27,18440.74874431734,7.808799,28.00000027546478,True
0.45,100000000.0,54,27,16292.594164976443,22.308832,28.000000272063478,True
0.5,0.0,54,27,19395.680192774675,10.892723,28.000000274146526,True
0.5,1.0,54,27,19395.680187047885,9.836093,28.000000274146526,True
0.5,1000000.0,54,27,19212.688088765884,8.264243,28.000000273639206,True
0.5,5000000.0,54,27,19420.363406820787,11.978498,28.000000274615292,True
0.5,10000000.0,54,27,19377.320867534498,12.427547,28.00000027474962,True
0.5,50000000.0,54,27,18244.648266120108,7.665434,28.00000027512086,True
0.5,80000000.0,54,27,18382.990419641577,9.510327,28.000000275522805,True
0.5,100000000.0,54,27,18200.8846498738,11.956393,28.000000275909603,True
