Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,60,30,21685.32247638673,5.536995,31.000000299626514,True
0.05,1.0,60,30,21685.322475747755,5.737083,31.000000299626514,True
0.05,1000000.0,60,30,21920.843858950222,5.995409,31.000000299746368,True
0.05,5000000.0,60,30,21678.263759077658,6.477269,31.000000299898172,True
0.05,10000000.0,60,30,21887.078658635437,5.996192,31.000000300204533,True
0.05,50000000.0,60,30,21613.013205479932,7.20981,31.000000302398657,True
0.05,100000000.0,60,30,15221.240705956774,24.742633,31.000000297844235,True
0.1,0.0,60,30,21683.683653151842,6.897004,31.000000299650285,True
0.1,1.0,60,30,21920.298528659176,4.716038,31.000000299765635,True
0.1,1000000.0,60,30,21688.31187067314,6.16833,31.000000299923204,True
0.1,5000000.0,60,30,21651.83400516889,6.709401,31.000000299993896,True
0.1,10000000.0,60,30,21600.92149603113,11.676292,31.000000299764018,True
0.1,50000000.0,60,30,21601.495421228097,8.32584,31.000000302461647,True
0.1,100000000.0,60,30,20875.046469125733,9.181417,31.000000304184624,True
0.15,0.0,60,30,21669.770968343408,8.682139,31.000000299470518,True
0.15,1.0,60,30,21662.21800670837,13.932245,31.00000029996551,True
0.15,1000000.0,60,30,21906.62998253059,5.855856,31.00000029969073,True
0.15,5000000.0,60,30,21651.02850004407,7.210433,31.000000300106283,True
0.15,10000000.0,60,30,21618.45121457499,8.645601,31.000000299956724,True
0.15,50000000.0,60,30,21326.860106387612,10.405071,31.00000030246679,True
0.15,100000000.0,60,30,8375.163680411011,17.673141,31.00000029732439,True
0.2,0.0,60,30,21653.597887312393,6.20777,31.000000299816623,True
0.2,1.0,60,30,21903.99742157974,6.983722,31.00000029970088,True
0.2,1000000.0,60,30,21584.41592388961,6.908366,31.000000299255323,True
0.2,5000000.0,60,30,21634.021312859088,7.568891,31.000000299832276,True
0.2,10000000.0,60,30,21621.434231560223,6.902692,31.000000300179877,True
0.2,50000000.0,60,30,21577.127268427135,7.784648,31.000000302584038,True
0.2,100000000.0,60,30,20222.455959164592,7.582227,31.00000030339576,True
0.25,0.0,60,30,21639.425949166573,8.16602,31.000000299663533,True
0.25,1.0,60,30,21677.994119166724,9.770715,31.000000299956298,True
0.25,1000000.0,60,30,21675.91276179092,8.181792,31.000000300007997,True
0.25,5000000.0,60,30,21875.922955221915,8.041194,31.000000300159996,True
0.25,10000000.0,60,30,21571.076888227188,9.748639,31.000000300034433,True
0.25,50000000.0,60,30,21260.619937749772,9.960541,31.00000030244262,True
0.25,100000000.0,60,30,19534.90827848073,42.72806,31.000000299617955,True
0.3,0.0,60,30,21634.255885321632,12.872218,31.00000029970987,True
0.3,1.0,60,30,21634.255883057278,8.272408,31.00000029970987,True
0.3,1000000.0,60,30,13564.208252483993,304.584521,30.94299168741167,False
0.3,5000000.0,60,30,21626.14709008619,13.42155,31.000000300006235,True
0.3,10000000.0,60,30,21600.03157061859,5.237639,31.000000300381412,True
0.3,50000000.0,60,30,21263.34342969066,7.277564,31.00000030254732,True
0.3,100000000.0,60,30,21808.425583131262,266.533529,30.999998259206595,False
0.35,0.0,60,30,21628.308588388783,8.784165,31.000000299755744,True
0.35,1.0,60,30,21606.51422747485,8.492761,31.00000029960418,True
0.35,1000000.0,60,30,21874.805134506736,6.410036,31.000000300030166,True
0.35,5000000.0,60,30,21615.525632357505,6.841611,31.000000300103846,True
0.35,10000000.0,60,30,21575.309748933654,7.31331,31.00000030034595,True
0.35,50000000.0,60,30,21506.440573027605,8.909951,31.000000302815703,True
0.35,100000000.0,60,30,16260.943965080907,26.818884,31.000000298494975,True
0.4,0.0,60,30,21620.104659607165,6.643324,31.000000299848512,True
0.4,1.0,60,30,21620.104656165568,6.704505,31.000000299848512,True
0.4,1000000.0,60,30,21613.263431248026,8.391108,31.000000299877904,True
0.4,5000000.0,60,30,21594.407645386316,119.13746,30.999789689485247,False
0.4,10000000.0,60,30,21802.54969633217,6.334896,31.000000300798668,True
0.4,50000000.0,60,30,11839.985715771118,34.86697,30.938983069247936,False
0.4,100000000.0,60,30,21381.051983537858,18.652916,31.000000298889596,True
0.45,0.0,60,30,21835.806499519073,10.091814,31.00000030018693,True
0.45,1.0,60,30,21835.806494990447,10.065713,31.00000030018693,True
0.45,1000000.0,60,30,21614.220849593872,6.349859,31.000000300019952,True
0.45,5000000.0,60,30,21564.58550230072,8.768499,31.000000300378343,True
0.45,10000000.0,60,30,21563.3415888819,6.102818,31.000000300633793,True
0.45,50000000.0,60,30,21083.392962045902,7.64997,31.000000302571074,True
0.45,100000000.0,60,30,18407.78710512754,7.920314,31.00000029888179,True
0.5,0.0,60,30,21596.154104329336,8.822396,31.000000299930583,True
0.5,1.0,60,30,21847.514744220556,8.666182,31.000000300249113,True
0.5,1000000.0,60,30,21841.80163042878,12.533985,31.000000300330445,True
0.5,5000000.0,60,30,21539.5402326452,5.66942,31.000000300137245,True
0.5,10000000.0,60,30,21539.600947142,6.292507,31.000000300574374,True
0.5,50000000.0,60,30,21176.453178933898,6.769835,31.000000302777213,True
0.5,100000000.0,60,30,13984.653339361297,36.723344,31.00000029451434,True
