Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,58,29,21333.883580142083,8.919922,30.00000029161035,True
0.05,1.0,58,29,21087.175245057726,9.701399,30.00000029134397,True
0.05,1000000.0,58,29,21087.252114186464,8.63974,30.000000291395217,True
0.05,5000000.0,58,29,21081.82313772777,10.788609,30.00000029159427,True
0.05,10000000.0,58,29,21328.1412705064,6.309376,30.000000292105405,True
0.05,50000000.0,58,29,20733.197086895907,9.366007,30.00000029340054,True
0.05,80000000.0,58,29,20564.84525584362,10.04733,30.000000294829864,True
0.05,100000000.0,58,29,20781.37129983923,19.307741,30.000000290091755,True
0.1,0.0,58,29,21347.978584459088,9.34951,30.000000291537265,True
0.1,1.0,58,29,21086.519203688742,6.064257,30.000000291389863,True
0.1,1000000.0,58,29,21085.601205406052,5.464329,30.000000291440887,True
0.1,5000000.0,58,29,21343.096071706488,13.747435,30.00000029187704,True
0.1,10000000.0,58,29,21324.524671328152,7.795085,30.000000292165417,True
0.1,50000000.0,58,29,20772.836286921898,7.386041,30.000000293497095,True
0.1,80000000.0,58,29,19875.299627097465,8.872063,30.000000293425906,True
0.1,100000000.0,58,29,19683.99325479156,7.481639,30.000000294058456,True
0.15,0.0,58,29,21016.27717031112,6.740226,30.000000291084735,True
0.15,1.0,58,29,21339.872160455256,10.587882,30.000000291703753,True
0.15,1000000.0,58,29,21082.605072983944,7.098799,30.000000291487403,True
0.15,5000000.0,58,29,21072.4366003085,9.658282,30.000000291781202,True
0.15,10000000.0,58,29,21051.06778250349,9.197198,30.000000291879836,True
0.15,50000000.0,58,29,20758.142067453315,7.055347,30.000000293548485,True
0.15,80000000.0,58,29,19858.2895132657,7.120439,30.000000293462996,True
0.15,100000000.0,58,29,13908.887236948738,12.863316,30.000000293027323,True
0.2,0.0,58,29,21064.680916942274,10.527641,30.00000029164319,True
0.2,1.0,58,29,21060.131698950623,7.616539,30.000000291314894,True
0.2,1000000.0,58,29,21077.826776277452,10.24097,30.000000291535496,True
0.2,5000000.0,58,29,21060.247037991034,15.177935,30.00000029167846,True
0.2,10000000.0,58,29,21313.97034782295,11.970572,30.000000292284064,True
0.2,50000000.0,58,29,21023.39020196972,12.965151,30.00000029385267,True
0.2,80000000.0,58,29,19840.83618344224,12.402709,30.00000029349962,True
0.2,100000000.0,58,29,19643.4103832973,8.68278,30.000000294018868,True
0.25,0.0,58,29,21074.45398642623,6.814775,30.000000291526405,True
0.25,1.0,58,29,21001.198770635725,6.730084,30.000000291307774,True
0.25,1000000.0,58,29,21328.43937198808,22.343984,30.00000029187888,True
0.25,5000000.0,58,29,21043.1712226138,10.924553,30.000000291673974,True
0.25,10000000.0,58,29,21002.00831989659,20.867202,30.000000291993768,True
0.25,50000000.0,58,29,20727.58770098962,12.870279,30.000000293650057,True
0.25,80000000.0,58,29,21738.966313535468,36.872016,30.0000002915415,True
0.25,100000000.0,58,29,18458.64956976524,23.021436,30.000000289997523,True
0.3,0.0,58,29,21042.574561337566,8.053791,30.000000291414946,True
0.3,1.0,58,29,20995.488504738933,9.340771,30.000000291271718,True
0.3,1000000.0,58,29,21038.159981428184,7.228,30.000000291474745,True
0.3,5000000.0,58,29,21038.16350454572,9.298281,30.000000291743767,True
0.3,10000000.0,58,29,20974.540594729013,8.236959,30.00000029196094,True
0.3,50000000.0,58,29,20711.675829111908,14.015751,30.00000029370043,True
0.3,80000000.0,58,29,19793.06191887006,7.502633,30.00000029364725,True
0.3,100000000.0,58,29,19616.871223258055,11.924264,30.000000294163783,True
0.35,0.0,58,29,21027.966723782614,11.655311,30.000000291499088,True
0.35,1.0,58,29,21072.90884919292,8.608577,30.00000029171803,True
0.35,1000000.0,58,29,21044.543380823838,8.596905,30.000000291686625,True
0.35,5000000.0,58,29,21031.963170669052,9.490001,30.0000002917956,True
0.35,10000000.0,58,29,20921.628850402158,12.928967,30.000000291972757,True
0.35,50000000.0,58,29,19999.564230288008,10.89212,30.000000293640365,True
0.35,80000000.0,58,29,19783.063859914688,13.228093,30.000000293619454,True
0.35,100000000.0,58,29,18388.052757247104,25.059958,30.000000290066364,True
0.4,0.0,58,29,21040.63954917511,12.338188,30.000000291704367,True
0.4,1.0,58,29,21020.72575542669,9.344543,30.00000029158424,True
