Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,52,26,18524.35066086381,7.418489,27.00000026616886,True
0.05,1.0,52,26,18417.03393775418,11.793609,27.00000026613372,True
0.05,1000000.0,52,26,18359.21283895048,11.126953,27.00000026614761,True
0.05,5000000.0,52,26,18253.38216688748,7.465949,27.000000265727454,True
0.05,10000000.0,52,26,18318.377636757134,8.051903,27.000000265815466,True
0.05,50000000.0,52,26,15830.669612567797,6.826753,27.00000026519413,True
0.05,80000000.0,52,26,14239.009866411527,8.033887,27.000000266183186,True
0.05,100000000.0,52,26,5956.282727387538,120.196811,26.96647515403468,False
0.1,0.0,52,26,18322.781537936084,11.227556,27.000000266034373,True
0.1,1.0,52,26,18251.954330658875,7.690292,27.000000265708824,True
0.1,1000000.0,52,26,18252.279515703456,8.736152,27.000000265706177,True
0.1,5000000.0,52,26,18251.969490975465,8.422845,27.00000026574551,True
0.1,10000000.0,52,26,18303.700496299592,7.058074,27.000000265762967,True
0.1,50000000.0,52,26,15812.766734480243,6.59362,27.000000265240583,True
0.1,80000000.0,52,26,14206.504529590116,9.057141,27.000000266217583,True
0.1,100000000.0,52,26,17501.173552312746,7.7808,27.000000266860372,True
0.15,0.0,52,26,18414.499895853933,8.716613,27.000000266179942,True
0.15,1.0,52,26,18348.827528892652,7.022031,27.000000265837688,True
0.15,1000000.0,52,26,18413.375669872436,8.454262,27.00000026619417,True
0.15,5000000.0,52,26,18350.90005493392,9.491622,27.000000266245138,True
0.15,10000000.0,52,26,18242.48550436028,9.95886,27.000000265840555,True
0.15,50000000.0,52,26,16726.861464734597,6.311298,27.000000265074597,True
0.15,80000000.0,52,26,17653.875440997497,7.114568,27.000000266538308,True
0.15,100000000.0,52,26,15112.65811105,7.835938,27.00000026657878,True
0.2,0.0,52,26,18248.94399418696,6.755134,27.000000265708355,True
0.2,1.0,52,26,18370.856982683614,15.652401,27.00000026605094,True
0.2,1000000.0,52,26,18248.743379105494,7.593607,27.000000265722782,True
0.2,5000000.0,52,26,18245.583298445035,6.402442,27.00000026578193,True
0.2,10000000.0,52,26,18236.646073696804,10.28212,27.00000026585758,True
0.2,50000000.0,52,26,17871.13322214673,9.674919,27.000000265560278,True
0.2,80000000.0,52,26,17618.939553495893,6.591239,27.00000026668315,True
0.2,100000000.0,52,26,17457.472076569546,5.902755,27.000000266936457,True
0.25,0.0,52,26,18370.670968555933,8.278589,27.000000266075034,True
0.25,1.0,52,26,18368.007189944292,8.825316,27.0000002660564,True
0.25,1000000.0,52,26,18403.455157343156,8.177389,27.000000266197247,True
0.25,5000000.0,52,26,18289.288238240217,8.502954,27.000000265670895,True
0.25,10000000.0,52,26,18197.04371913575,7.343293,27.000000265911478,True
0.25,50000000.0,52,26,15753.027773951799,6.605918,27.000000265376098,True
0.25,80000000.0,52,26,15795.882154843239,24.120566,27.000000262006377,True
0.25,100000000.0,52,26,17435.316340688667,6.666677,27.000000266951535,True
0.3,0.0,52,26,18299.508623855443,10.626585,27.000000265654897,True
0.3,1.0,52,26,18242.21828381975,7.188845,27.000000265742727,True
0.3,1000000.0,52,26,18241.092719333326,8.205262,27.000000265757183,True
0.3,5000000.0,52,26,18279.988973798067,8.021065,27.000000265667026,True
0.3,10000000.0,52,26,18200.93198305074,8.730521,27.00000026597692,True
0.3,50000000.0,52,26,17820.156588938557,8.443503,27.00000026640557,True
0.3,80000000.0,52,26,15295.455418127804,11.211506,27.000000266372343,True
0.3,100000000.0,52,26,7336.3557971045,12.350434,27.000000265745378,True
0.35,0.0,52,26,18236.98174596231,7.596704,27.000000265759017,True
0.35,1.0,52,26,18236.98174450047,8.086615,27.000000265759017,True
0.35,1000000.0,52,26,1775.9296638356898,10806.812374,26.975309989665266,False
0.35,5000000.0,52,26,18226.93033370289,8.187539,27.000000265832824,True
0.35,10000000.0,52,26,18044.561507009403,9.712118,27.00000026474044,True
0.35,50000000.0,52,26,16647.54603735087,11.458059,27.000000265294254,True
0.35,80000000.0,52,26,17559.803381740854,10.359985,27.00000026673359,True
0.35,100000000.0,52,26,14965.692347387705,9.165406,27.000000266701896,True
0.4,0.0,52,26,18230.484554488852,8.213092,27.000000265774855,True
0.4,1.0,52,26,18230.484552571575,9.818654,27.000000265774855,True
0.4,1000000.0,52,26,18276.27523492483,11.319294,27.000000265626802,True
0.4,5000000.0,52,26,18051.624551139248,15.359506,27.00000026463175,True
0.4,10000000.0,52,26,18224.056457075203,11.265518,27.000000265729977,True
0.4,50000000.0,52,26,17798.30837600612,7.546277,27.000000265699004,True
0.4,80000000.0,52,26,17527.618683391564,39.299855,27.000000263133632,True
0.4,100000000.0,52,26,12549.616328521737,11.048555,27.000000264806328,True
0.45,0.0,52,26,18222.67779028243,7.259924,27.00000026579022,True
0.45,1.0,52,26,18231.79993332667,7.428364,27.000000265908785,True
0.45,1000000.0,52,26,18194.857931142287,7.415979,27.000000265907993,True
0.45,5000000.0,52,26,18042.71288088418,7.271199,27.00000026468591,True
0.45,10000000.0,52,26,18024.48883290615,6.220716,27.000000264836988,True
0.45,50000000.0,52,26,17774.795262539432,16.176479,27.000000266332258,True
0.45,80000000.0,52,26,17518.183547757817,7.223675,27.000000266768637,True
0.45,100000000.0,52,26,6928.866054995537,12.58025,27.00000026582802,True
0.5,0.0,52,26,18213.482621579413,7.650902,27.00000026580503,True
0.5,1.0,52,26,18213.48261875003,6.886449,27.00000026580503,True
0.5,1000000.0,52,26,18128.97594232865,6.858467,27.00000026581964,True
0.5,5000000.0,52,26,18150.225161918188,11.435493,27.000000265899146,True
0.5,10000000.0,52,26,18013.13094056765,8.149522,27.000000264881997,True
0.5,50000000.0,52,26,17737.302251336765,6.723666,27.00000026637095,True
0.5,80000000.0,52,26,17488.927285975173,24.368147,27.000000263001333,True
0.5,100000000.0,52,26,6558.67543310083,14.995525,27.000000265892574,True
