Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,56,28,20397.39775426627,6.824965,29.000000282929044,True
0.05,1.0,56,28,20611.29225113165,9.884252,29.000000283151103,True
0.05,1000000.0,56,28,20345.931883804944,7.78842,29.00000028274926,True
0.05,5000000.0,56,28,20382.95207382445,9.321571,29.00000028302761,True
0.05,10000000.0,56,28,20380.94291711372,8.130502,29.00000028330798,True
0.05,50000000.0,56,28,20150.82633485805,7.526803,29.00000028472736,True
0.05,80000000.0,56,28,20870.147456451607,23.556265,29.000000282079355,True
0.05,100000000.0,56,28,20020.48947178913,22.381372,29.000000280733573,True
0.1,0.0,56,28,20386.910424399877,9.02451,29.000000282860306,True
0.1,1.0,56,28,20392.67030747688,6.529173,29.000000283084326,True
0.1,1000000.0,56,28,20391.540225642195,8.193731,29.00000028312433,True
0.1,5000000.0,56,28,20388.90958576765,6.68277,29.00000028316615,True
0.1,10000000.0,56,28,20365.342834773055,7.463808,29.000000283256696,True
0.1,50000000.0,56,28,19659.50644577166,9.383504,29.00000028394367,True
0.1,80000000.0,56,28,18523.657644030925,9.504706,29.000000285321136,True
0.1,100000000.0,56,28,19118.165346541744,7.223437,29.000000284818885,True
0.15,0.0,56,28,20393.624256139028,8.19784,29.00000028301008,True
0.15,1.0,56,28,20393.62425491408,5.516909,29.00000028301008,True
0.15,1000000.0,56,28,20363.11520026548,12.559637,29.000000282964695,True
0.15,5000000.0,56,28,20384.52479587066,9.166063,29.000000283201754,True
0.15,10000000.0,56,28,20356.37076156999,7.855483,29.000000283280748,True
0.15,50000000.0,56,28,19644.741219602583,9.359386,29.00000028399483,True
0.15,80000000.0,56,28,19259.851220661272,9.238789,29.00000028447633,True
0.15,100000000.0,56,28,19079.12490732951,6.607544,29.000000284765225,True
0.2,0.0,56,28,20380.882903039907,11.471105,29.000000282940697,True
0.2,1.0,56,28,20386.264326011824,12.032214,29.0000002830487,True
0.2,1000000.0,56,28,20388.536802186532,15.784499,29.000000283085033,True
0.2,5000000.0,56,28,20379.027274000226,7.157581,29.000000283236627,True
0.2,10000000.0,56,28,20354.465453922217,10.808862,29.000000283280023,True
0.2,50000000.0,56,28,19311.106661143618,9.824534,29.000000284168042,True
0.2,80000000.0,56,28,19258.298378511892,8.757745,29.00000028443974,True
0.2,100000000.0,56,28,19059.690411080035,7.759704,29.000000284788584,True
0.25,0.0,56,28,20386.03978844434,7.382266,29.000000283083846,True
0.25,1.0,56,28,20334.777965595193,8.457143,29.00000028289059,True
0.25,1000000.0,56,28,20374.391094660114,7.133676,29.000000283027372,True
0.25,5000000.0,56,28,20322.386912541464,10.086892,29.000000283108708,True
0.25,10000000.0,56,28,20327.028981646945,11.239375,29.000000283410447,True
0.25,50000000.0,56,28,19483.939825089063,9.085069,29.000000283743418,True
0.25,80000000.0,56,28,19204.41595800261,11.777903,29.000000284407346,True
0.25,100000000.0,56,28,19064.47441093568,9.424735,29.0000002849382,True
0.3,0.0,56,28,20371.421737122975,8.389539,29.00000028302844,True
0.3,1.0,56,28,20371.421734683445,7.687224,29.00000028302844,True
0.3,1000000.0,56,28,20593.096591416048,12.716974,29.000000283324628,True
0.3,5000000.0,56,28,20360.654361499823,11.2598,29.000000283172817,True
0.3,10000000.0,56,28,20339.14640245155,10.578099,29.00000028337611,True
0.3,50000000.0,56,28,17993.801838617677,16.958104,29.000000285061276,True
0.3,80000000.0,56,28,19219.7901864113,17.791643,29.00000028449558,True
0.3,100000000.0,56,28,18984.915100107788,16.520003,29.00000028489925,True
0.35,0.0,56,28,20375.150839848946,15.835934,29.000000283159498,True
0.35,1.0,56,28,20365.58109306824,8.093816,29.000000283071305,True
0.35,1000000.0,56,28,20362.500243476075,8.337472,29.000000283112737,True
0.35,5000000.0,56,28,20333.672353582413,12.654233,29.00000028330715,True
0.35,10000000.0,56,28,20562.06125062912,13.790195,29.000000283657016,True
0.35,50000000.0,56,28,19426.533862439683,16.909574,29.00000028379863,True
0.35,80000000.0,56,28,19199.979584722125,11.676306,29.000000284522923,True
0.35,100000000.0,56,28,18999.393593215602,9.466221,29.0000002848566,True
0.4,0.0,56,28,20317.51465018648,8.814645,29.000000283033575,True
0.4,1.0,56,28,20317.514647030104,8.443442,29.000000283033575,True
0.4,1000000.0,56,28,20348.399122090443,10.764909,29.000000283142015,True
0.4,5000000.0,56,28,20344.908845974627,11.799338,29.000000283332973,True
0.4,10000000.0,56,28,20261.299551553195,11.589464,29.000000283537734,True
0.4,50000000.0,56,28,19414.27477579886,15.071661,29.000000283785884,True
0.4,80000000.0,56,28,20038.52843191418,20.637894,29.00000028015107,True
0.4,100000000.0,56,28,18978.387706743728,11.1835,29.00000028487857,True
0.45,0.0,56,28,20350.937562726034,8.346309,29.000000283156012,True
0.45,1.0,56,28,20350.93755909825,10.74487,29.000000283156012,True
0.45,1000000.0,56,28,20347.004777703474,8.405662,29.000000283196584,True
0.45,5000000.0,56,28,20278.835838870393,11.196046,29.000000283353263,True
0.45,10000000.0,56,28,20537.19023729549,12.755357,29.00000028375255,True
0.45,50000000.0,56,28,18743.525617179796,8.369296,29.00000028463458,True
0.45,80000000.0,56,28,19159.25016359186,7.909844,29.000000284576497,True
0.45,100000000.0,56,28,18919.247162293148,9.53828,29.000000284969236,True
0.5,0.0,56,28,20347.070643793926,14.830859,29.000000283143443,True
0.5,1.0,56,28,20343.268851837016,15.696594,29.00000028314279,True
0.5,1000000.0,56,28,20347.810979997874,11.299371,29.000000283197974,True
0.5,5000000.0,56,28,20555.127934360586,12.789103,29.00000028359468,True
0.5,10000000.0,56,28,20527.054062888834,12.772486,29.000000283794773,True
0.5,50000000.0,56,28,19380.598398496142,9.186532,29.00000028391812,True
0.5,80000000.0,56,28,19106.966461413245,8.578539,29.00000028453631,True
0.5,100000000.0,56,28,18896.764541516095,9.136295,29.000000284991916,True
