Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,64,32,22788.439167762877,10.360138,33.00000031261676,True
0.05,1.0,64,32,22584.85029159426,8.83864,33.00000031296474,True
0.05,1000000.0,64,32,22561.947764349017,8.681956,33.000000312767824,True
0.05,5000000.0,64,32,22761.944895607332,7.142428,33.000000313530414,True
0.05,10000000.0,64,32,22741.23171386746,8.344594,33.00000031439423,True
0.05,50000000.0,64,32,22438.257161226193,6.665712,33.00000031876409,True
0.05,80000000.0,64,32,22243.348082391993,9.689772,33.00000032077909,True
0.05,100000000.0,64,32,21646.012156792596,15.04692,33.000000321316115,True
0.1,0.0,64,32,22529.209539951837,13.126452,33.000000312334905,True
0.1,1.0,64,32,22583.87605378097,7.565252,33.00000031302595,True
0.1,1000000.0,64,32,22528.505657410264,11.898996,33.00000031250212,True
0.1,5000000.0,64,32,22754.32070356528,9.125986,33.0000003137162,True
0.1,10000000.0,64,32,22733.149396343975,16.669107,33.00000031458633,True
0.1,50000000.0,64,32,22425.7733519024,10.401083,33.0000003188771,True
0.1,80000000.0,64,32,21850.327410767193,11.877143,33.00000032037291,True
0.1,100000000.0,64,32,22061.108611565895,10.390019,33.00000032174124,True
0.15,0.0,64,32,22767.44141185547,5.83878,33.00000031315529,True
0.15,1.0,64,32,22767.44140985565,10.733551,33.00000031315529,True
0.15,1000000.0,64,32,22765.263031908566,6.276901,33.00000031336636,True
0.15,5000000.0,64,32,22744.15601952698,6.7043,33.000000313980564,True
0.15,10000000.0,64,32,22471.6678915016,7.469249,33.00000031455162,True
0.15,50000000.0,64,32,22413.04152749397,8.317877,33.00000031898762,True
0.15,80000000.0,64,32,22210.27316031404,10.218464,33.00000032092438,True
0.15,100000000.0,64,32,21603.538038597824,13.039195,33.00000032144319,True
0.2,0.0,64,32,22761.31512089496,11.088008,33.000000313444716,True
0.2,1.0,64,32,22761.31511720772,9.471312,33.000000313444716,True
0.2,1000000.0,64,32,22775.71579099992,9.048939,33.000000313487185,True
0.2,5000000.0,64,32,22751.231593310935,12.536433,33.00000031405051,True
0.2,10000000.0,64,32,22711.562455013496,13.901218,33.0000003150237,True
0.2,50000000.0,64,32,22400.51414434377,11.089741,33.000000319101034,True
0.2,80000000.0,64,32,22192.87152450795,9.2295,33.00000032099462,True
0.2,100000000.0,64,32,21958.751262287053,24.762498,33.00000032204073,True
0.25,0.0,64,32,22751.62950876846,10.153969,33.00000031375023,True
0.25,1.0,64,32,22751.629504303764,7.829487,33.00000031375023,True
0.25,1000000.0,64,32,22743.455803879497,11.991154,33.000000313729146,True
0.25,5000000.0,64,32,22727.499803856266,14.980044,33.00000031439905,True
0.25,10000000.0,64,32,22405.974703671545,12.540096,33.000000314377964,True
0.25,50000000.0,64,32,22390.337469907026,9.216336,33.0000003192425,True
0.25,80000000.0,64,32,22174.872249220123,12.44394,33.0000003210635,True
0.25,100000000.0,64,32,21661.566259201536,11.98802,33.00000032164282,True
0.3,0.0,64,32,22740.01405713613,9.905136,33.00000031374858,True
0.3,1.0,64,32,22740.01405359173,9.718015,33.00000031374858,True
0.3,1000000.0,64,32,22710.112955811142,9.117976,33.00000031415688,True
0.3,5000000.0,64,32,22691.4608878454,9.168251,33.00000031483716,True
0.3,10000000.0,64,32,22387.698203216576,11.172089,33.00000031483973,True
0.3,50000000.0,64,32,22379.908030133607,12.160812,33.000000319380206,True
0.3,80000000.0,64,32,22155.287155069644,10.893834,33.00000032113151,True
0.3,100000000.0,64,32,21296.91176050314,23.900243,33.00000031655283,True
0.35,0.0,64,32,22730.32332472661,12.477744,33.000000313988615,True
0.35,1.0,64,32,22704.221338635238,8.954378,33.000000314240744,True
0.35,1000000.0,64,32,22724.598946572398,13.199674,33.000000314184305,True
0.35,5000000.0,64,32,22679.454120386275,8.243898,33.0000003149339,True
0.35,10000000.0,64,32,22403.880136352036,9.428566,33.00000031536593,True
0.35,50000000.0,64,32,22369.223037610744,10.678287,33.00000031951428,True
0.35,80000000.0,64,32,21759.44482745295,15.832977,33.0000003208191,True
0.35,100000000.0,64,32,21865.21041274093,22.027048,33.00000031720872,True
0.4,0.0,64,32,22694.4520530423,9.00617,33.0000003144758,True
0.4,1.0,64,32,22414.150209751504,11.719149,33.000000313913425,True
0.4,1000000.0,64,32,22426.649049262207,18.178281,33.00000031349637,True
0.4,5000000.0,64,32,22391.28556406597,8.123267,33.000000314463804,True
0.4,10000000.0,64,32,22298.063958948802,10.914679,33.00000031511162,True
0.4,50000000.0,64,32,22343.538988126464,9.962406,33.00000031963611,True
0.4,80000000.0,64,32,21786.853560842635,18.431747,33.00000032092949,True
0.4,100000000.0,64,32,20301.065089935313,24.165839,33.00000031803437,True
0.45,0.0,64,32,22682.509274205055,8.892821,33.00000031456985,True
0.45,1.0,64,32,22682.509269999522,11.147395,33.00000031456985,True
0.45,1000000.0,64,32,22346.968364993372,9.447034,33.0000003136344,True
0.45,5000000.0,64,32,22418.69891372169,12.324085,33.000000314901186,True
0.45,10000000.0,64,32,22284.065971761996,12.094792,33.0000003152977,True
0.45,50000000.0,64,32,22327.199911106243,9.250814,33.000000319721124,True
0.45,80000000.0,64,32,22092.320817836124,18.260684,33.00000032132769,True
0.45,100000000.0,64,32,22210.151026845237,19.715969,33.000000316581044,True
0.5,0.0,64,32,22400.05188371176,10.117662,33.000000314048556,True
0.5,1.0,64,32,22673.286881049527,8.423708,33.00000031476159,True
0.5,1000000.0,64,32,22668.91495922089,7.520001,33.00000031490878,True
0.5,5000000.0,64,32,22344.037072193685,10.92083,33.00000031517049,True
0.5,10000000.0,64,32,22362.56531672971,10.220373,33.00000031587612,True
0.5,50000000.0,64,32,22310.868798512598,11.121559,33.00000031980831,True
0.5,80000000.0,64,32,21699.4602641596,18.216582,33.00000032103397,True
0.5,100000000.0,64,32,20258.414543773313,24.993439,33.000000318130894,True
