Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,50,25,16700.6025396531,6.341083,26.000000257297287,True
0.05,1.0,50,25,16711.914376909877,4.864032,26.000000257231118,True
0.05,1000000.0,50,25,16663.346547440913,6.188195,26.000000257072344,True
0.05,5000000.0,50,25,16697.701482609307,7.663923,26.00000025732991,True
0.05,10000000.0,50,25,16756.378115475633,8.526349,26.000000256929656,True
0.05,50000000.0,50,25,16515.445829462293,4.901557,26.00000025744305,True
0.05,100000000.0,50,25,16102.957381497243,8.258528,26.000000257862688,True
0.1,0.0,50,25,16661.016557903095,5.468685,26.000000257039936,True
0.1,1.0,50,25,16757.95214819729,3.892135,26.000000256527485,True
0.1,1000000.0,50,25,16758.855920307687,4.28059,26.000000256542375,True
0.1,5000000.0,50,25,16716.442585522618,11.332603,26.00000025637827,True
0.1,10000000.0,50,25,16624.177104100185,5.533823,26.000000257064343,True
0.1,50000000.0,50,25,15396.645772483638,6.815386,26.000000256074337,True
0.1,100000000.0,50,25,7373.44834525854,9.32425,26.000000256239243,True
0.15,0.0,50,25,16758.889119566276,4.683486,26.000000256538595,True
0.15,1.0,50,25,16659.11548871941,7.606347,26.000000257048708,True
0.15,1000000.0,50,25,16658.069727239315,5.356462,26.00000025705779,True
0.15,5000000.0,50,25,16623.857332421372,5.922972,26.000000257060258,True
0.15,10000000.0,50,25,16750.03466030037,6.795678,26.000000256679535,True
0.15,50000000.0,50,25,16125.566654457734,4.691697,26.000000256552564,True
0.15,100000000.0,50,25,16035.514086077847,6.11067,26.000000257885976,True
0.2,0.0,50,25,16638.243240090593,164.957733,26.00000025702456,False
0.2,1.0,50,25,16654.628123398223,4.736301,26.000000257048598,True
0.2,1000000.0,50,25,16689.950200899362,5.710841,26.000000257073957,True
0.2,5000000.0,50,25,16638.31074337849,5.022583,26.00000025706562,True
0.2,10000000.0,50,25,16633.742866485223,5.499118,26.000000257071292,True
0.2,50000000.0,50,25,15356.665552967594,5.277812,26.000000256137493,True
0.2,100000000.0,50,25,16026.382389170669,4.781457,26.00000025788761,True
0.25,0.0,50,25,16755.973836375513,5.695993,26.000000256561474,True
0.25,1.0,50,25,16755.973835585773,6.151138,26.000000256561474,True
0.25,1000000.0,50,25,16755.054226590273,5.374648,26.000000256576033,True
0.25,5000000.0,50,25,16749.03208432731,4.690594,26.000000256632763,True
0.25,10000000.0,50,25,16609.920562238654,5.318459,26.000000257085485,True
0.25,50000000.0,50,25,16077.890518738608,4.957382,26.000000256822837,True
0.25,100000000.0,50,25,13524.078629059202,5.494161,26.000000256676973,True
0.3,0.0,50,25,16618.252536342578,5.658503,26.00000025703821,True
0.3,1.0,50,25,16638.354409780775,6.175954,26.000000257036064,True
0.3,1000000.0,50,25,16708.34056935834,5.707889,26.00000025694444,True
0.3,5000000.0,50,25,16634.225909740526,6.053028,26.00000025704361,True
0.3,10000000.0,50,25,16730.505362129912,5.60483,26.00000025671406,True
0.3,50000000.0,50,25,16421.598099513245,5.021449,26.000000257496175,True
0.3,100000000.0,50,25,12645.819732424421,7.094896,26.00000025593776,True
0.35,0.0,50,25,16688.19263098455,7.754591,26.000000256541206,True
0.35,1.0,50,25,16688.192630998394,6.364853,26.000000256541206,True
0.35,1000000.0,50,25,16616.99989045337,5.904205,26.000000257059128,True
0.35,5000000.0,50,25,16609.86931285749,5.880719,26.00000025705548,True
0.35,10000000.0,50,25,16664.252605471556,7.319162,26.000000257075598,True
0.35,50000000.0,50,25,14188.318040570937,4.650316,26.000000255825963,True
0.35,100000000.0,50,25,6981.165658216106,8.119351,26.00000025626067,True
0.4,0.0,50,25,22242.146047298676,180.10494,25.9985223883499,False
0.4,1.0,50,25,16675.71274906048,6.274729,26.00000025735929,True
0.4,1000000.0,50,25,16618.69108331546,6.116018,26.00000025706442,True
0.4,5000000.0,50,25,16724.99393410519,6.133003,26.000000257334825,True
0.4,10000000.0,50,25,16712.11743861269,5.32732,26.000000256740943,True
0.4,50000000.0,50,25,16438.293818194936,8.976383,26.000000257196184,True
0.4,100000000.0,50,25,15939.899264724516,5.182394,26.00000025790728,True
0.45,0.0,50,25,16668.502884925932,6.63997,26.000000257346883,True
0.45,1.0,50,25,16735.011224285125,5.575368,26.000000256625135,True
0.45,1000000.0,50,25,16579.287210892377,6.510972,26.000000257020737,True
0.45,5000000.0,50,25,16646.042071912532,4.647134,26.000000257052772,True
0.45,10000000.0,50,25,16700.88264844715,15.535153,26.000000256747672,True
0.45,50000000.0,50,25,16363.95848671223,5.742354,26.000000257517502,True
0.45,100000000.0,50,25,15940.792922070594,5.885495,26.000000257945043,True
0.5,0.0,50,25,16641.969065713653,6.633857,26.000000257011738,True
0.5,1.0,50,25,16641.969062160726,7.138293,26.000000257011738,True
0.5,1000000.0,50,25,16648.83453412844,6.491083,26.000000257018907,True
0.5,5000000.0,50,25,16710.3525688449,6.320121,26.000000256697408,True
0.5,10000000.0,50,25,16688.47373738099,7.123671,26.000000256755165,True
0.5,50000000.0,50,25,16394.29000100821,5.488988,26.000000257216108,True
0.5,100000000.0,50,25,12482.132010389796,7.516556,26.000000256066315,True
