Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,72,36,23308.98734299702,253.179725,37.000000312999525,False
0.05,1.0,72,36,23308.457693671167,249.788405,36.999989231161884,False
0.05,1000000.0,72,36,23312.071021417185,9.152578,37.00000031590672,True
0.05,5000000.0,72,36,23282.616324209645,9.573587,37.00000032129234,True
0.05,10000000.0,72,36,23250.184133843155,15.877308,37.00000032458016,True
0.05,50000000.0,72,36,23311.69940213565,267.155979,36.99999579173095,False
0.05,100000000.0,72,36,22559.750641501993,15.028441,37.00000035291602,True
0.1,0.0,72,36,23290.07431608693,221.863501,37.00000031464615,False
0.1,1.0,72,36,23259.38817748404,301.422438,36.99998923807259,False
0.1,1000000.0,72,36,23288.41818638852,11.743113,37.00000031794411,True
0.1,5000000.0,72,36,23242.416245500135,10.513822,37.000000321552086,True
0.1,10000000.0,72,36,23212.617952070384,13.954231,37.00000032653372,True
0.1,50000000.0,72,36,23299.710959912063,30.562822,37.00000034691867,True
0.1,100000000.0,72,36,22555.90717243429,16.249221,37.000000353166584,True
0.15,0.0,72,36,23278.02664427832,9.289133,37.00000031674238,True
0.15,1.0,72,36,23278.0266378069,11.026313,37.00000031674238,True
0.15,1000000.0,72,36,23271.596693298485,9.559967,37.00000031774356,True
0.15,5000000.0,72,36,23245.610237855577,273.177644,36.999990911336084,False
0.15,10000000.0,72,36,23194.505695664142,14.520482,37.000000326968355,True
0.15,50000000.0,72,36,22924.027231927386,12.563391,37.000000345528434,True
0.15,100000000.0,72,36,22502.716853713682,17.248449,37.00000035320977,True
0.2,0.0,72,36,23259.785138949304,10.492599,37.000000316991446,True
0.2,1.0,72,36,23259.785132602206,10.477873,37.000000316991446,True
0.2,1000000.0,72,36,23231.615420992683,8.468693,37.00000031877238,True
0.2,5000000.0,72,36,23210.1313058997,17.018158,37.00000032409079,True
0.2,10000000.0,72,36,-3082.9448774053294,10806.145256,36.17825250912659,False
0.2,50000000.0,72,36,23271.38166322023,28.207947,37.00000034752306,True
0.2,100000000.0,72,36,22485.603893930722,24.894657,37.00000035335139,True
0.25,0.0,72,36,23218.117246857797,12.639395,37.000000318426515,True
0.25,1.0,72,36,23218.1172392484,9.811677,37.000000318426515,True
0.25,1000000.0,72,36,23240.86441590141,12.018572,37.00000032275618,True
0.25,5000000.0,72,36,23216.04967286092,8.383129,37.000000324374206,True
0.25,10000000.0,72,36,23194.07618572197,244.999335,36.99999272250633,False
0.25,50000000.0,72,36,23254.413221412604,18.783968,37.00000034780494,True
0.25,100000000.0,72,36,22468.290196833514,10.859827,37.00000035348997,True
0.3,0.0,72,36,23199.883686244597,9.723128,37.00000031967456,True
0.3,1.0,72,36,23464.964704582675,12.024829,37.00000032471314,True
0.3,1000000.0,72,36,23193.481036470956,8.389607,37.000000320988846,True
0.3,5000000.0,72,36,23175.257581122252,14.631156,37.00000032575142,True
0.3,10000000.0,72,36,23175.75891740999,235.941284,36.99999259691268,False
0.3,50000000.0,72,36,22906.64367855619,8.982881,37.000000346236725,True
0.3,100000000.0,72,36,22471.23932966288,11.870349,37.0000003535969,True
