Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,62,31,22383.50625007401,5.137108,32.00000030657756,True
0.05,1.0,62,31,22383.50624999273,9.841578,32.00000030657756,True
0.05,1000000.0,62,31,22177.568488252873,10.352946,32.00000030702675,True
0.05,5000000.0,62,31,22135.87200396438,6.722952,32.00000030681353,True
0.05,10000000.0,62,31,22119.36124826559,8.605322,32.00000030753329,True
0.05,50000000.0,62,31,22077.303081834885,8.330219,32.00000031081304,True
0.05,100000000.0,62,31,21362.536400513625,13.526727,32.00000031285301,True
0.1,0.0,62,31,22366.884339511736,5.598826,32.00000030667952,True
0.1,1.0,62,31,22366.884338783628,6.465647,32.00000030667952,True
0.1,1000000.0,62,31,22382.376681126658,7.847686,32.00000030678389,True
0.1,5000000.0,62,31,22154.771494323995,7.581873,32.00000030709872,True
0.1,10000000.0,62,31,22114.821994089478,6.093066,32.00000030729823,True
0.1,50000000.0,62,31,22061.796289986207,7.7747,32.00000031087873,True
0.1,100000000.0,62,31,21341.728839222993,11.647183,32.0000003129071,True
0.15,0.0,62,31,22173.55178771909,6.787612,32.00000030699187,True
0.15,1.0,62,31,22142.627651747243,7.339889,32.0000003065009,True
0.15,1000000.0,62,31,22171.830082190223,8.238031,32.000000307088804,True
0.15,5000000.0,62,31,22087.78417598035,8.957148,32.000000306651664,True
0.15,10000000.0,62,31,22304.473736899614,6.432776,32.00000030793117,True
0.15,50000000.0,62,31,21678.62716751524,10.430883,32.00000031066608,True
0.15,100000000.0,62,31,20524.5228976556,23.088624,32.000000308543605,True
0.2,0.0,62,31,22163.548362000914,7.264,32.00000030685493,True
0.2,1.0,62,31,22135.06347269323,8.049887,32.000000306685976,True
0.2,1000000.0,62,31,22360.313877167016,5.660587,32.000000307060496,True
0.2,5000000.0,62,31,22092.80203535793,10.824096,32.00000030715751,True
0.2,10000000.0,62,31,22298.72881679139,8.220816,32.00000030797899,True
0.2,50000000.0,62,31,21732.816886069864,10.789264,32.00000031075764,True
0.2,100000000.0,62,31,21169.656116525934,9.101212,32.00000031298167,True
0.25,0.0,62,31,22129.470093800162,10.12271,32.00000030675775,True
0.25,1.0,62,31,22129.470090924737,8.29727,32.00000030675775,True
0.25,1000000.0,62,31,22123.691537806822,8.15759,32.00000030708223,True
0.25,5000000.0,62,31,22307.04586540277,6.101262,32.0000003076815,True
0.25,10000000.0,62,31,22057.791101485658,27.651864,32.000000307847195,True
0.25,50000000.0,62,31,21647.78195798199,9.765229,32.00000031078756,True
0.25,100000000.0,62,31,21275.066066943786,11.964999,32.00000031306236,True
0.3,0.0,62,31,22084.600361935554,10.498351,32.00000030655435,True
0.3,1.0,62,31,22084.600358564978,16.921786,32.00000030655435,True
0.3,1000000.0,62,31,22112.89111927837,9.449123,32.0000003072103,True
0.3,5000000.0,62,31,22072.93503872461,8.402761,32.00000030750756,True
0.3,10000000.0,62,31,22064.783792269584,7.786841,32.0000003081545,True
0.3,50000000.0,62,31,21701.05511555133,8.951207,32.000000310907566,True
0.3,100000000.0,62,31,18757.419576376553,9.379305,32.000000307991414,True
0.35,0.0,62,31,21998.579160681766,14.87274,32.0000003067894,True
0.35,1.0,62,31,22014.25433990986,10.525718,32.000000306547406,True
0.35,1000000.0,62,31,22305.984839521712,6.432253,32.00000030748897,True
0.35,5000000.0,62,31,22292.34345959491,6.293466,32.00000030790473,True
0.35,10000000.0,62,31,22234.885102113592,21.248418,32.00000030829297,True
0.35,50000000.0,62,31,21957.214456453745,6.578115,32.00000031114014,True
0.35,100000000.0,62,31,21222.980160048926,15.700365,32.00000031315966,True
0.4,0.0,62,31,22302.960104983802,7.491427,32.00000030749926,True
0.4,1.0,62,31,22077.47647425723,7.793441,32.00000030725166,True
0.4,1000000.0,62,31,22300.03137025612,7.6444,32.00000030761565,True
0.4,5000000.0,62,31,22280.724001767092,8.705789,32.00000030784125,True
0.4,10000000.0,62,31,22227.414028018193,8.1393,32.00000030838776,True
0.4,50000000.0,62,31,21935.282051656875,7.539476,32.00000031119882,True
0.4,100000000.0,62,31,20522.338743767898,9.620917,32.00000031248056,True
0.45,0.0,62,31,22088.995971054857,9.679661,32.00000030755996,True
0.45,1.0,62,31,22088.99596535863,8.814085,32.00000030755996,True
0.45,1000000.0,62,31,22063.099831597483,9.955315,32.00000030744891,True
0.45,5000000.0,62,31,22236.898787130813,11.275744,32.000000308068216,True
0.45,10000000.0,62,31,22219.5677620074,8.755241,32.00000030848506,True
0.45,50000000.0,62,31,21913.0542514371,9.249551,32.000000311255064,True
0.45,100000000.0,62,31,18816.072217269793,8.071629,32.00000030878717,True
0.5,0.0,62,31,21965.90390420157,9.826356,32.00000030706581,True
0.5,1.0,62,31,22282.756340792566,7.125357,32.00000030779427,True
0.5,1000000.0,62,31,22278.144952750165,6.624401,32.00000030790026,True
0.5,5000000.0,62,31,22261.96661726852,7.368041,32.000000308122665,True
0.5,10000000.0,62,31,21986.22195457539,9.022961,32.00000030861245,True
0.5,50000000.0,62,31,21891.305989628163,8.089248,32.000000311311155,True
0.5,100000000.0,62,31,20476.65923582662,7.246788,32.000000312563756,True
