Beta,acc_reg,Intervals,time,avg_power,twall,final_time,b_optimal
0.05,0.0,52,26,18397.593218165475,6.299858,27.00000026599804,True
0.05,1.0,52,26,18521.890476868997,6.930129,27.0000002661758,True
0.05,1000000.0,52,26,18353.819341694107,8.537787,27.00000026612497,True
0.05,5000000.0,52,26,18529.188312729373,8.264428,27.00000026627779,True
0.05,10000000.0,52,26,18304.18048063351,12.648163,27.00000026612645,True
0.05,50000000.0,52,26,17917.23379336005,6.568632,27.00000026603289,True
0.05,100000000.0,52,26,17525.895079631722,6.066441,27.000000266828177,True
0.1,0.0,52,26,18389.03862014611,14.2362,27.00000026615389,True
0.1,1.0,52,26,18351.277811023552,8.744985,27.000000266020297,True
0.1,1000000.0,52,26,18358.358591115004,9.010905,27.00000026616095,True
0.1,5000000.0,52,26,18249.63780622,7.080757,27.000000265743413,True
0.1,10000000.0,52,26,18304.505008010037,10.084967,27.000000265770723,True
0.1,50000000.0,52,26,17901.363806422985,7.560792,27.000000266294194,True
0.1,100000000.0,52,26,17506.468314480677,6.205698,27.000000266843532,True
0.15,0.0,52,26,18248.308334408724,8.573148,27.000000265688367,True
0.15,1.0,52,26,18357.98394638068,9.497581,27.000000266170968,True
0.15,1000000.0,52,26,18248.1135539992,8.417791,27.00000026570941,True
0.15,5000000.0,52,26,18512.514101839195,9.32193,27.000000266267918,True
0.15,10000000.0,52,26,18194.081169619705,8.218443,27.00000026583603,True
0.15,50000000.0,52,26,17413.052742163847,6.365903,27.000000265144564,True
0.15,100000000.0,52,26,17263.15583595799,6.285906,27.000000266696457,True
0.2,0.0,52,26,18348.808588870786,7.662201,27.000000266173004,True
0.2,1.0,52,26,18246.71366167509,9.405304,27.000000265705946,True
0.2,1000000.0,52,26,18348.073601655793,6.786624,27.000000265957564,True
0.2,5000000.0,52,26,18243.23131603728,8.269112,27.000000265786188,True
0.2,10000000.0,52,26,18152.935031538866,7.66953,27.00000026589412,True
0.2,50000000.0,52,26,17886.27032122357,7.770885,27.000000266778866,True
0.2,100000000.0,52,26,17255.10930474043,6.48912,27.000000266721923,True
0.25,0.0,52,26,18305.403242418593,10.849679,27.000000266159937,True
0.25,1.0,52,26,18305.403240358275,10.738662,27.000000266159937,True
0.25,1000000.0,52,26,18243.315372912894,6.269497,27.000000265736805,True
0.25,5000000.0,52,26,18238.48896083347,8.714662,27.00000026580315,True
0.25,10000000.0,52,26,18058.215181420153,8.061023,27.00000026462436,True
0.25,50000000.0,52,26,14593.637440547687,5.770373,27.000000265414528,True
0.25,100000000.0,52,26,17423.926972564397,6.121633,27.000000266833812,True
0.3,0.0,52,26,18239.986440653898,8.072847,27.000000265738905,True
0.3,1.0,52,26,18205.535309740164,9.739729,27.000000265865683,True
0.3,1000000.0,52,26,18238.88470927964,7.722168,27.000000265752927,True
0.3,5000000.0,52,26,18232.306355616678,8.756333,27.000000265810375,True
0.3,10000000.0,52,26,18051.425871552427,6.461467,27.00000026467379,True
0.3,50000000.0,52,26,17826.35497306498,6.316425,27.00000026622302,True
0.3,100000000.0,52,26,17111.030653859318,7.900139,27.000000266596786,True
0.35,0.0,52,26,18158.87757697708,8.557209,27.00000026577541,True
0.35,1.0,52,26,18234.771550739002,7.092546,27.000000265754405,True
0.35,1000000.0,52,26,18233.226105442507,9.269048,27.000000265768485,True
0.35,5000000.0,52,26,18078.80621147903,7.905522,27.00000026520411,True
0.35,10000000.0,52,26,18074.77699467782,10.487519,27.000000265361194,True
0.35,50000000.0,52,26,15711.638071647343,7.794596,27.000000265455643,True
0.35,100000000.0,52,26,17402.888192114988,6.441126,27.000000266915386,True
0.4,0.0,52,26,18228.315042056623,9.696373,27.000000265769398,True
0.4,1.0,52,26,18183.46335234307,9.47247,27.000000265844598,True
0.4,1000000.0,52,26,18031.67519916415,7.44996,27.00000026535758,True
0.4,5000000.0,52,26,18183.71148278236,8.099231,27.000000265907353,True
0.4,10000000.0,52,26,18054.04359960766,7.604587,27.00000026530846,True
0.4,50000000.0,52,26,17792.78103537184,8.239062,27.000000266295952,True
0.4,100000000.0,52,26,16968.89577516182,7.689327,27.000000266837624,True
0.45,0.0,52,26,18075.752327490212,9.247366,27.000000265340066,True
0.45,1.0,52,26,18154.670167639626,9.348477,27.00000026515791,True
0.45,1000000.0,52,26,18218.146540520836,7.699406,27.000000265798057,True
0.45,5000000.0,52,26,18041.63685089807,5.788883,27.0000002646653,True
0.45,10000000.0,52,26,18029.7369613817,8.77509,27.000000265378027,True
0.45,50000000.0,52,26,14369.789678492763,8.644738,27.000000265876114,True
0.45,100000000.0,52,26,17228.42895493928,6.739292,27.00000026689275,True
0.5,0.0,52,26,18220.93006789129,7.998307,27.000000265880775,True
0.5,1.0,52,26,18047.05540766252,6.305544,27.00000026456898,True
0.5,1000000.0,52,26,18044.367089020965,6.721045,27.000000264598928,True
0.5,5000000.0,52,26,18055.706275626755,9.15679,27.00000026536371,True
0.5,10000000.0,52,26,18003.534887261667,8.709679,27.000000264894332,True
0.5,50000000.0,52,26,17740.636676157785,6.324757,27.00000026634993,True
0.5,100000000.0,52,26,17308.096507689115,6.640275,27.00000026691452,True
